_id,employee_code,employee_first_name,employee_last_name,employee_mobile,employee_alternate_mobile,employee_email,employee_password,employee_address,employee_city,employee_state,employee_other_info,employee_dob,employee_doj,employee_skills,employee_experience,employee_resume,employee_id_proof,employee_pan_card,employee_marksheet,employee_experience_letter,employee_permanant_address_proof,employee_local_address_proof,employee_reference_one_name,employee_reference_one_mobile,employee_reference_two_name,employee_reference_two_mobile,created_at,updated_at,__v
669fa46ced73ad265eb8efcb,RSS001,Mahima,Garg,7067424674,7067424674,mahima@gmail.com,123456,test test1,Agawam,Madhya Pradesh,test,2024-07-02T00:00:00.000Z,2024-07-12T00:00:00.000Z,"Node.js, React, HTML",4,employee/resume_pdf/1721738348617.pdf,employee/proof_pdf/1721738348624.pdf,,employee/marksheet_pdf/1721738348632.pdf,,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:39:08.691Z,2024-07-23T12:39:08.691Z,0
669fa4dfed73ad265eb8efd0,RSS002,Monika,Jaiswal,3366998877,6756453434,monika@gmail.com,123456,test test1,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"Node.js, React, HTML, CSS",4,employee/resume_pdf/1721739241732.pdf,employee/proof_pdf/1721739241733.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739241734.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:41:03.581Z,2024-07-23T12:54:01.751Z,0
669fa4f7ed73ad265eb8efd5,RSS003,Muskan,Jaiswal,3366998877,6756453434,muskan@gmail.com,123456,test test1,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"HTML, CSS",4,employee/resume_pdf/1721739254985.pdf,employee/proof_pdf/1721739254985.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739254986.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:41:27.077Z,2024-07-23T12:54:14.987Z,0
669fa519ed73ad265eb8efda,RSS004,Noopur,Jaiswal,3366998877,6756453434,noopur@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"HTML, CSS, Wordpress, Angular, IOS, Laravel",4,employee/resume_pdf/1721739267011.pdf,employee/proof_pdf/1721739267012.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739267012.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:42:01.261Z,2024-07-23T12:54:27.013Z,0
669fa52eed73ad265eb8efdf,RSS005,Rashmi,Jaiswal,3366998877,6756453434,rashmi@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"HTML, CSS, IOS",4,employee/resume_pdf/1721739277596.pdf,employee/proof_pdf/1721739277597.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739277598.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:42:22.972Z,2024-07-23T12:54:37.599Z,0
669fa558ed73ad265eb8efe4,RSS006,Kanchan,Soni,3366998877,6756453434,kanchan@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"IOS, React, Laravel, Angular",5,employee/resume_pdf/1721739293047.pdf,employee/proof_pdf/1721739293048.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739293048.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:43:04.550Z,2024-07-23T12:54:53.050Z,0
669fa56ced73ad265eb8efe7,RSS007,Ekta,Soni,3366998877,6756453434,ekta@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"IOS, React, Laravel, Angular, Node.js",5,employee/resume_pdf/1721739306516.pdf,employee/proof_pdf/1721739306517.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739306517.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:43:24.271Z,2024-07-23T12:55:06.519Z,0
669fa58aed73ad265eb8efea,RSS008,Saloni,Soni,3366998877,6756453434,saloni@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"React, Angular, Node.js, Wordpress",3,employee/resume_pdf/1721738634452.pdf,employee/proof_pdf/1721738634467.pdf,,employee/marksheet_pdf/1721738634471.pdf,,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:43:54.492Z,2024-07-23T12:43:54.492Z,0
669fa59bed73ad265eb8efed,RSS009,Deepika,Soni,3366998877,6756453434,deepika@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"React, Angular, Node.js, Wordpress, HTML",3,employee/resume_pdf/1721739318505.pdf,employee/proof_pdf/1721739318505.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739318506.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:44:11.622Z,2024-07-23T12:55:18.507Z,0
669fa5b7ed73ad265eb8eff0,RSS010,Sharad,Soni,3366998877,6756453434,sharad@gmail.com,123456,test indore,Agawam,Madhya Pradesh,test,2024-07-09T00:00:00.000Z,2024-07-02T00:00:00.000Z,"Angular, HTML, IOS",3,employee/resume_pdf/1721739329311.pdf,employee/proof_pdf/1721739329312.pdf,employee/pan_card_pdf/,employee/marksheet_pdf/1721739329312.pdf,employee/experience_card_pdf/,test,test1,shruti,7585966598,shiva,5588774499,2024-07-23T12:44:39.171Z,2024-07-23T12:55:29.319Z,0
